Id,SalePrice
1461,173550.63523678383
1462,131150.08057142663
1463,180663.98338403527
1464,196137.5860331539
1465,197535.9285048305
1466,176197.49176375038
1467,189869.66355733387
1468,174111.56355876054
1469,185835.40186900474
1470,143362.03556696587
1471,197000.23713313678
1472,136927.89257716367
1473,132770.6940605638
1474,167294.11766561994
1475,148540.80272654397
1476,286398.1054706737
1477,282546.6765480051
1478,265508.69640834
1479,241823.4131192547
1480,315947.27947574225
1481,266510.1608291841
1482,209091.07872563423
1483,177553.29754579253
1484,191170.5232250895
1485,195001.22037771094
1486,196332.97321046042
1487,298414.3553033095
1488,278527.42040599324
1489,231710.85134795113
1490,196337.07973185906
1491,203982.90994342614
1492,113300.66278600042
1493,176183.34047999128
1494,254496.51897947895
1495,245388.35088330376
1496,202932.9712260025
1497,220774.36636143216
1498,207028.3052903728
1499,207938.65051297625
1500,197888.00256220193
1501,186811.227773869
1502,208094.87745397037
1503,286900.452073096
1504,233180.6729261573
1505,213687.4028040917
1506,163418.02553565052
1507,213362.3733239646
1508,196691.51166105294
1509,163495.70245032306
1510,143646.13271733772
1511,145399.6607463003
1512,153332.52383106184
1513,152345.73899561135
1514,111139.6992050701
1515,159343.387496084
1516,147051.7451066819
1517,171361.84894001723
1518,142908.93040902689
1519,223703.32757329123
1520,120159.47766780667
1521,120563.85266060727
1522,140306.04064586942
1523,110781.91250293478
1524,124858.23549574465
1525,121468.61808663713
1526,115333.48124855805
1527,152356.05189124637
1528,164159.53449688145
1529,143247.45913514483
1530,165845.73155000032
1531,95794.49958904016
1532,84770.98162348614
1533,153346.33796200756
1534,144695.31099251614
1535,149009.12266284917
1536,114588.38942116329
1537,121182.29106626785
1538,161335.4795237546
1539,188310.5747105983
1540,73848.06378061023
1541,178597.11082989463
1542,151962.95082268192
1543,161466.37247111904
1544,100375.76881145294
1545,125259.29855527771
1546,150639.51548329275
1547,115177.06963381663
1548,135254.71898726022
1549,167719.4951730712
1550,129549.49472976764
1551,110780.73829480371
1552,124829.42807779754
1553,115546.35876178084
1554,134555.49337031736
1555,125426.03308951363
1556,90529.98675459974
1557,79405.23148589165
1558,115167.19461478158
1559,67710.45223677468
1560,130402.87580256768
1561,86928.03993863582
1562,168258.38969051786
1563,123842.76149864998
1564,166781.70635295883
1565,151117.6267623674
1566,232118.364083019
1567,104462.43434825829
1568,183969.65637615454
1569,130991.17228326012
1570,158964.470083712
1571,113520.01146703906
1572,152775.05818075183
1573,219739.11465174938
1574,130003.99897380569
1575,186215.87903586446
1576,298558.0354323331
1577,224556.52419862713
1578,152998.0875272456
1579,183180.18052422558
1580,205063.54165659298
1581,162992.3234910961
1582,152862.42367401242
1583,275434.55019288126
1584,217654.07899047396
1585,178288.2937451723
1586,118455.28874754427
1587,119236.90073024518
1588,134450.19162238273
1589,124167.98902722268
1590,149059.6417497771
1591,88986.24768688015
1592,119420.41802647723
1593,129499.58171256857
1594,100592.93015082082
1595,77764.66150881942
1596,152647.41772366484
1597,163546.3586437953
1598,211295.79417516096
1599,216919.83095938803
1600,196938.49067430067
1601,86752.76720897679
1602,157277.91708704055
1603,101347.09432539373
1604,217027.7345953175
1605,259199.2701016414
1606,171818.46681413843
1607,194830.11140182638
1608,230396.96377910202
1609,205628.30146751803
